Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),DEPTH
AAVE_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,WARNING,11:13:41,CHECKED,12:14:02,WARNING,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,CHECKED,22:57:58,$19.3K / $21.1K
ADA_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,CHECKED,22:57:58,$98.7K / $155.0K
ALGO_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,CHECKED,22:57:58,$42.8K / $50.0K
BCH_USDT,CHECKED,00:56:54,CHECKED,04:37:00,WARNING,06:57:47,WARNING,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,WARNING,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,CHECKED,22:57:58,$16.3K / $29.1K
BNB_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,CHECKED,22:57:58,$82.1K / $82.1K
BONK_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,CHECKED,22:57:58,$6.0K / $6.3K
BTC_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,CHECKED,22:57:58,$1.30M / $1.63M
CAKE_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,CHECKED,22:57:58,$12.7K / $19.4K
CFX_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,CHECKED,22:57:58,$26.0K / $29.6K
DASH_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,CHECKED,22:57:58,$15.7K / $15.7K
