Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),DEPTH
AAVE_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,WARNING,11:13:41,CHECKED,12:14:02,WARNING,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,$14.6K / $18.7K
ADA_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,$133.9K / $185.6K
ALGO_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,$40.2K / $45.2K
BCH_USDT,CHECKED,00:56:54,CHECKED,04:37:00,WARNING,06:57:47,WARNING,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,WARNING,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,$18.8K / $34.9K
BNB_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,$71.5K / $71.5K
BONK_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,$3.9K / $4.4K
BTC_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,$1.12M / $1.30M
CAKE_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,$14.0K / $20.9K
CFX_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,$17.5K / $17.5K
DASH_USDT,CHECKED,00:56:54,CHECKED,04:37:00,CHECKED,06:57:47,CHECKED,08:42:28,CHECKED,10:15:38,CHECKED,11:13:41,CHECKED,12:14:02,CHECKED,13:03:33,CHECKED,14:50:29,CHECKED,16:16:56,CHECKED,17:14:56,CHECKED,18:18:18,CHECKED,19:13:52,CHECKED,20:20:23,CHECKED,20:59:04,CHECKED,22:04:10,$15.5K / $17.5K
