timestamp,symbol,event_type,spread,diff,status,notes,depth_1.25x,depth_1.5x
2026-02-12 03:24:17,AAVE_USDT,WARNING_ENTERED,0.033,-89.00000000000001,Warning,,$2.8K,$3.5K
2026-02-12 03:26:06,USDT_NGN,WARNING_ENTERED,0.0907,-82.5576923076923,Warning,,$7.79M,$7.79M
2026-02-12 05:44:57,POL_USDT,WARNING_ENTERED,0.143,-71.39999999999999,Warning,,$8.7K,$12.5K
2026-02-12 05:46:15,USDC_NGN,WARNING_CLEARED,0.337,-32.599999999999994,Healthy,,$2269.80M,$2884.00M
2026-02-12 07:20:08,AAVE_USDT,WARNING_CLEARED,0.301,0.33333333333333365,Healthy,,$12.4K,$14.7K
2026-02-12 07:21:13,POL_USDT,WARNING_CLEARED,0.538,7.600000000000007,Healthy,,$44.5K,$52.9K
2026-02-12 07:21:25,SHIB_USDT,WARNING_ENTERED,0.205,-48.75000000000001,Warning,,$7.2K,$9.0K
2026-02-12 07:22:32,USDC_NGN,WARNING_ENTERED,0.248,-50.4,Warning,,$1406.82M,$1406.82M
2026-02-12 09:10:37,SHIB_USDT,WARNING_CLEARED,0.429,7.249999999999993,Healthy,,$21.5K,$24.3K
2026-02-12 09:11:19,QDX_NGN,WARNING_CLEARED,6.0392,-39.608,Healthy,,$1.20M,$1.43M
2026-02-12 09:11:25,TRX_NGN,WARNING_ENTERED,0.287,-42.6,Warning,,$175.78M,$236.69M
2026-02-12 09:11:38,USDC_NGN,WARNING_CLEARED,0.34,-31.999999999999996,Healthy,,$1507.29M,$1756.89M
2026-02-12 10:10:18,ADA_USDT,WARNING_ENTERED,0.0639,-75.42307692307692,Warning,,$15.1K,$15.1K
2026-02-12 10:11:16,POL_USDT,WARNING_ENTERED,0.119,-76.2,Warning,,$4.3K,$8.5K
2026-02-12 10:12:09,QDX_NGN,WARNING_ENTERED,4.952,-50.480000000000004,Warning,,$1.20M,$1.27M
2026-02-12 10:12:14,TRX_NGN,WARNING_CLEARED,0.5,0.0,Healthy,,$449.32M,$449.32M
2026-02-12 11:10:58,AAVE_USDT,WARNING_ENTERED,0.0528,-82.39999999999999,Warning,,$3.3K,$3.8K
2026-02-12 11:12:03,POL_USDT,WARNING_CLEARED,0.611,22.199999999999996,Healthy,,$51.8K,$59.2K
2026-02-12 11:59:32,AAVE_USDT,WARNING_CLEARED,0.281,-6.3333333333333215,Healthy,,$22.8K,$22.8K
2026-02-12 11:59:35,ADA_USDT,WARNING_CLEARED,0.299,14.999999999999991,Healthy,,$97.2K,$146.4K
2026-02-12 12:00:48,SOL_USDT,WARNING_ENTERED,0.591,136.39999999999998,Warning,,$44.1K,$58.1K
2026-02-12 12:01:26,ETH_NGN,WARNING_ENTERED,0.233,-53.400000000000006,Warning,,$519.55M,$519.55M
2026-02-12 13:46:56,AAVE_USDT,WARNING_ENTERED,0.0609,-79.69999999999999,Warning,,$3.8K,$4.6K
2026-02-12 13:47:29,DOGE_USDT,WARNING_ENTERED,0.148,-43.07692307692308,Warning,,$71.0K,$101.4K
2026-02-12 13:48:16,SOL_USDT,WARNING_CLEARED,0.239,-4.400000000000004,Healthy,,$40.0K,$54.0K
2026-02-12 13:48:35,XLM_USDT,WARNING_ENTERED,0.0248,-91.73333333333333,Warning,,$5.1K,$5.1K
2026-02-12 13:48:50,USDT_NGN,WARNING_CLEARED,0.532,2.3076923076923097,Healthy,,$4515.18M,$4515.18M
2026-02-12 13:48:55,ETH_NGN,WARNING_CLEARED,0.852,70.39999999999999,Healthy,,$1156.32M,$1156.32M
2026-02-12 15:10:56,AAVE_USDT,SCRAPE_FAILED,,,,"Message: 
Stacktrace:
#0 0x55b0d8ee070a <unknown>
#1 0x55b0d8968f92 <unknown>
#2 0x55b0d89bd6ce <unknown>
#3 0x55b0d89bd9f1 <unknown>
#4 0x55b0d8a09064 <unknown>
#5 0x55b0d8a0628e <unknown>
#6 0x55b0d89af6d7 <unknown>
#7 0x55b0d89b04c1 <unknown>
#8 0x55b0d8ea5caf <unknown>
#9 0x55b0d8ea8c9e <unknown>
#10 0x55b0d8e93b6e <unknown>
#11 0x55b0d8ea9439 <unknown>
#12 0x55b0d8e7c127 <unknown>
#13 0x55b0d8ece568 <unknown>
#14 0x55b0d8ece793 <unknown>
#15 0x55b0d8edf9e1 <unknown>
#16 0x7f55ab4bdaa4 <unknown>
#17 0x7f55ab54ac6c <unknown>
",,
2026-02-12 15:11:23,ALGO_USDT,WARNING_ENTERED,0.921,-53.949999999999996,Warning,,$8.2K,$11.2K
2026-02-12 15:11:49,DOGE_USDT,WARNING_CLEARED,0.277,6.5384615384615445,Healthy,,$185.2K,$185.2K
2026-02-12 15:12:39,SLP_USDT,WARNING_ENTERED,4.615,130.75,Warning,,$6.2K,$6.2K
2026-02-12 15:13:04,XLM_USDT,WARNING_CLEARED,0.373,24.333333333333336,Healthy,,$46.5K,$64.6K
2026-02-12 15:13:19,USDT_NGN,WARNING_ENTERED,0.19,-63.46153846153846,Warning,,$48.11M,$48.11M
2026-02-12 16:19:15,AAVE_USDT,WARNING_CLEARED,0.211,-29.666666666666668,Healthy,,$13.0K,$16.7K
2026-02-12 16:19:23,ALGO_USDT,WARNING_CLEARED,1.466,-26.700000000000003,Healthy,,$12.4K,$17.5K
2026-02-12 16:19:34,BTC_USDT,WARNING_ENTERED,0.633,216.5,Warning,,$914.9K,$914.9K
2026-02-12 16:20:14,NOS_USDT,WARNING_ENTERED,4.317,115.85000000000001,Warning,,$545,$545
2026-02-12 16:20:36,SLP_USDT,WARNING_CLEARED,3.561,78.05,Healthy,,$7.9K,$7.9K
2026-02-12 16:20:40,SOL_USDT,WARNING_ENTERED,0.547,118.80000000000001,Warning,,$46.0K,$49.6K
2026-02-12 16:21:01,XLM_USDT,WARNING_ENTERED,0.0866,-71.13333333333333,Warning,,$8.8K,$8.8K
2026-02-12 16:21:03,XRP_USDT,WARNING_ENTERED,0.129,-56.99999999999999,Warning,,$22.8K,$29.9K
2026-02-12 17:13:55,AAVE_USDT,SCRAPE_FAILED,,,,"Message: 
Stacktrace:
#0 0x558de2e4d70a <unknown>
#1 0x558de28d5f92 <unknown>
#2 0x558de292a6ce <unknown>
#3 0x558de292a9f1 <unknown>
#4 0x558de2976064 <unknown>
#5 0x558de297328e <unknown>
#6 0x558de291c6d7 <unknown>
#7 0x558de291d4c1 <unknown>
#8 0x558de2e12caf <unknown>
#9 0x558de2e15c9e <unknown>
#10 0x558de2e00b6e <unknown>
#11 0x558de2e16439 <unknown>
#12 0x558de2de9127 <unknown>
#13 0x558de2e3b568 <unknown>
#14 0x558de2e3b793 <unknown>
#15 0x558de2e4c9e1 <unknown>
#16 0x7faa5632daa4 <unknown>
#17 0x7faa563bac6c <unknown>
",,
2026-02-12 17:14:53,BTC_USDT,WARNING_CLEARED,0.149,-25.500000000000007,Healthy,,$595.3K,$841.4K
2026-02-12 17:15:06,DOT_USDT,WARNING_ENTERED,0.00793,-96.95,Warning,,$3.7K,$3.7K
2026-02-12 17:15:09,DOGE_USDT,WARNING_ENTERED,0.0975,-62.5,Warning,,$32.4K,$48.4K
2026-02-12 17:15:37,NEAR_USDT,WARNING_ENTERED,0.486,-75.7,Warning,,$1.3K,$1.6K
2026-02-12 17:15:40,NOS_USDT,WARNING_CLEARED,2.0134,0.6699999999999928,Healthy,,$744,$795
2026-02-12 17:16:00,SHIB_USDT,WARNING_ENTERED,0.183,-54.25,Warning,,$7.0K,$8.1K
2026-02-12 17:16:07,SOL_USDT,WARNING_CLEARED,0.25,0.0,Healthy,,$20.9K,$26.6K
2026-02-12 17:16:27,WIF_USDT,WARNING_ENTERED,0.913,-54.35,Warning,,$2.8K,$3.7K
2026-02-12 17:16:31,XLM_USDT,WARNING_CLEARED,0.365,21.666666666666668,Healthy,,$50.4K,$58.0K
2026-02-12 17:16:33,XRP_USDT,WARNING_CLEARED,0.309,3.0000000000000027,Healthy,,$84.0K,$84.0K
2026-02-12 17:16:37,XYO_USDT,WARNING_ENTERED,0.219,-78.10000000000001,Warning,,$13,$13
2026-02-12 17:16:56,ETH_NGN,WARNING_ENTERED,1.143,128.6,Warning,,$1161.24M,$1161.24M
2026-02-12 18:20:23,DOT_USDT,WARNING_CLEARED,0.27,3.8461538461538494,Healthy,,$31.1K,$52.4K
2026-02-12 18:20:41,LINK_USDT,WARNING_ENTERED,0.0121,-95.34615384615385,Warning,,$7.0K,$7.0K
2026-02-12 18:20:50,NEAR_USDT,WARNING_CLEARED,1.981,-0.9499999999999953,Healthy,,$3.3K,$3.9K
2026-02-12 18:20:59,POL_USDT,WARNING_ENTERED,0.27,-46.0,Warning,,$14.8K,$32.6K
2026-02-12 18:21:05,RENDER_USDT,WARNING_ENTERED,0.973,-51.35000000000001,Warning,,$2.7K,$3.5K
2026-02-12 18:21:11,SHIB_USDT,WARNING_CLEARED,0.484,20.99999999999999,Healthy,,$28.4K,$32.2K
2026-02-12 18:21:34,WIF_USDT,WARNING_CLEARED,1.818,-9.099999999999998,Healthy,,$7.5K,$8.9K
2026-02-12 18:21:43,XYO_USDT,WARNING_CLEARED,1.466,46.599999999999994,Healthy,,$1.1K,$2.6K
2026-02-12 18:21:58,ETH_NGN,WARNING_CLEARED,0.852,70.39999999999999,Healthy,,$1052.92M,$1052.92M
2026-02-12 19:32:51,BCH_USDT,WARNING_ENTERED,0.091,-65.0,Warning,,$11.7K,$14.4K
2026-02-12 19:33:01,BTC_USDT,WARNING_ENTERED,0.0113,-94.35,Warning,,$57.4K,$57.4K
2026-02-12 19:33:16,DOGE_USDT,WARNING_CLEARED,0.274,5.3846153846153895,Healthy,,$202.3K,$204.1K
2026-02-12 19:33:19,ETH_USDT,WARNING_ENTERED,0.129,-48.4,Warning,,$55.5K,$76.5K
2026-02-12 19:33:30,LINK_USDT,WARNING_CLEARED,0.327,25.769230769230774,Healthy,,$127.4K,$152.6K
2026-02-12 19:33:47,POL_USDT,WARNING_CLEARED,0.551,10.20000000000001,Healthy,,$31.0K,$31.0K
2026-02-12 19:33:52,RENDER_USDT,WARNING_CLEARED,2.0108,0.5400000000000071,Healthy,,$5.5K,$6.4K
2026-02-12 19:34:03,SOL_USDT,WARNING_ENTERED,0.547,118.80000000000001,Warning,,$28.8K,$49.6K
2026-02-12 19:34:40,QDX_NGN,WARNING_CLEARED,7.0573,-29.427000000000003,Healthy,,$1.01M,$1.04M
2026-02-12 20:30:58,AAVE_USDT,WARNING_ENTERED,0.152,-49.333333333333336,Warning,,$7.3K,$9.0K
2026-02-12 20:31:08,BCH_USDT,WARNING_CLEARED,0.268,3.0769230769230793,Healthy,,$40.2K,$50.1K
2026-02-12 20:31:17,BTC_USDT,WARNING_CLEARED,0.2,0.0,Healthy,,$947.2K,$1.24M
2026-02-12 20:31:36,ETH_USDT,WARNING_CLEARED,0.25,0.0,Healthy,,$110.6K,$137.4K
2026-02-12 20:31:47,LINK_USDT,WARNING_ENTERED,0.107,-58.84615384615386,Warning,,$61.7K,$61.7K
2026-02-12 20:31:56,NEAR_USDT,WARNING_ENTERED,1.175,-41.25,Warning,,$1.6K,$2.4K
2026-02-12 20:32:05,POL_USDT,WARNING_ENTERED,0.0634,-87.32,Warning,,$4.6K,$4.6K
2026-02-12 20:32:24,SOL_USDT,WARNING_CLEARED,0.251,0.40000000000000036,Healthy,,$18.0K,$24.3K
2026-02-12 20:33:05,QDX_NGN,WARNING_ENTERED,4.529,-54.71,Warning,,$537.8K,$651.2K
2026-02-12 21:55:42,AAVE_USDT,SCRAPE_FAILED,,,,"Message: 
Stacktrace:
#0 0x55edae39f70a <unknown>
#1 0x55edade27f92 <unknown>
#2 0x55edade7c6ce <unknown>
#3 0x55edade7c9f1 <unknown>
#4 0x55edadec8064 <unknown>
#5 0x55edadec528e <unknown>
#6 0x55edade6e6d7 <unknown>
#7 0x55edade6f4c1 <unknown>
#8 0x55edae364caf <unknown>
#9 0x55edae367c9e <unknown>
#10 0x55edae352b6e <unknown>
#11 0x55edae368439 <unknown>
#12 0x55edae33b127 <unknown>
#13 0x55edae38d568 <unknown>
#14 0x55edae38d793 <unknown>
#15 0x55edae39e9e1 <unknown>
#16 0x7f76e3821aa4 <unknown>
#17 0x7f76e38aec6c <unknown>
",,
2026-02-12 21:57:05,LINK_USDT,WARNING_CLEARED,0.291,11.923076923076911,Healthy,,$110.8K,$127.7K
2026-02-12 21:57:12,NEAR_USDT,WARNING_CLEARED,1.973,-1.3499999999999956,Healthy,,$5.2K,$5.2K
2026-02-12 21:57:21,POL_USDT,WARNING_CLEARED,0.542,8.400000000000007,Healthy,,$26.2K,$26.2K
2026-02-12 22:03:25,QDX_USDT,SCRAPE_FAILED,,,,"HTTPConnectionPool(host='localhost', port=52229): Read timed out. (read timeout=120)",,
2026-02-12 23:52:21,AAVE_USDT,WARNING_CLEARED,0.211,-29.666666666666668,Healthy,,$11.8K,$16.6K
2026-02-12 23:52:50,DASH_USDT,WARNING_ENTERED,0.888,-55.60000000000001,Warning,,$5.4K,$5.8K
2026-02-12 23:53:31,POL_USDT,WARNING_ENTERED,0.251,-49.8,Warning,,$16.6K,$25.7K
2026-02-12 23:53:51,SOL_USDT,WARNING_ENTERED,1.574,529.6,Warning,,$105.6K,$113.8K
2026-02-12 23:53:58,SUI_USDT,WARNING_ENTERED,0.968,-51.6,Warning,,$589,$826
