Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),DEPTH
AAVE_USDT,CHECKED,00:51:43,WARNING,04:15:41,CHECKED,06:03:41,CHECKED,07:12:43,CHECKED,08:19:03,CHECKED,09:02:02,WARNING,10:05:13,CHECKED,11:03:53,CHECKED,12:04:07,CHECKED,12:52:50,CHECKED,14:40:35,CHECKED,14:55:41,CHECKED,16:13:22,WARNING,17:06:41,CHECKED,18:10:25,CHECKED,19:01:23,CHECKED,20:13:52,WARNING,20:56:09,CHECKED,21:57:46,$22.1K / $24.1K
ADA_USDT,CHECKED,00:51:43,CHECKED,04:15:41,CHECKED,06:03:41,CHECKED,07:12:43,CHECKED,08:19:03,CHECKED,09:02:02,CHECKED,10:05:13,CHECKED,11:03:53,CHECKED,12:04:07,CHECKED,12:52:50,CHECKED,14:40:35,CHECKED,14:55:41,CHECKED,16:13:22,CHECKED,17:06:41,CHECKED,18:10:25,CHECKED,19:01:23,CHECKED,20:13:52,CHECKED,20:56:09,CHECKED,21:57:46,$107.2K / $151.6K
ALGO_USDT,CHECKED,00:51:43,CHECKED,04:15:41,CHECKED,06:03:41,CHECKED,07:12:43,CHECKED,08:19:03,CHECKED,09:02:02,CHECKED,10:05:13,CHECKED,11:03:53,CHECKED,12:04:07,CHECKED,12:52:50,CHECKED,14:40:35,CHECKED,14:55:41,CHECKED,16:13:22,CHECKED,17:06:41,CHECKED,18:10:25,CHECKED,19:01:23,CHECKED,20:13:52,CHECKED,20:56:09,CHECKED,21:57:46,$21.7K / $23.7K
BCH_USDT,CHECKED,00:51:43,CHECKED,04:15:41,CHECKED,06:03:41,CHECKED,07:12:43,CHECKED,08:19:03,WARNING,09:02:02,CHECKED,10:05:13,CHECKED,11:03:53,CHECKED,12:04:07,CHECKED,12:52:50,CHECKED,14:40:35,CHECKED,14:55:41,CHECKED,16:13:22,WARNING,17:06:41,CHECKED,18:10:25,CHECKED,19:01:23,CHECKED,20:13:52,CHECKED,20:56:09,CHECKED,21:57:46,$33.5K / $48.3K
BNB_USDT,CHECKED,00:51:43,CHECKED,04:15:41,CHECKED,06:03:41,CHECKED,07:12:43,CHECKED,08:19:03,CHECKED,09:02:02,CHECKED,10:05:13,CHECKED,11:03:53,CHECKED,12:04:07,CHECKED,12:52:50,CHECKED,14:40:35,CHECKED,14:55:41,CHECKED,16:13:22,CHECKED,17:06:41,CHECKED,18:10:25,CHECKED,19:01:23,CHECKED,20:13:52,CHECKED,20:56:09,CHECKED,21:57:46,$48.4K / $48.4K
BONK_USDT,CHECKED,00:51:43,CHECKED,04:15:41,CHECKED,06:03:41,CHECKED,07:12:43,CHECKED,08:19:03,CHECKED,09:02:02,CHECKED,10:05:13,CHECKED,11:03:53,CHECKED,12:04:07,CHECKED,12:52:50,CHECKED,14:40:35,CHECKED,14:55:41,CHECKED,16:13:22,CHECKED,17:06:41,CHECKED,18:10:25,CHECKED,19:01:23,CHECKED,20:13:52,CHECKED,20:56:09,CHECKED,21:57:46,$4.7K / $5.6K
BTC_USDT,CHECKED,00:51:43,CHECKED,04:15:41,CHECKED,06:03:41,CHECKED,07:12:43,CHECKED,08:19:03,CHECKED,09:02:02,CHECKED,10:05:13,CHECKED,11:03:53,CHECKED,12:04:07,CHECKED,12:52:50,CHECKED,14:40:35,CHECKED,14:55:41,CHECKED,16:13:22,WARNING,17:06:41,CHECKED,18:10:25,CHECKED,19:01:23,CHECKED,20:13:52,CHECKED,20:56:09,CHECKED,21:57:46,$988.1K / $1.28M
CAKE_USDT,CHECKED,00:51:43,CHECKED,04:15:41,CHECKED,06:03:41,CHECKED,07:12:43,CHECKED,08:19:03,CHECKED,09:02:02,CHECKED,10:05:13,CHECKED,11:03:53,CHECKED,12:04:07,CHECKED,12:52:50,CHECKED,14:40:35,CHECKED,14:55:41,CHECKED,16:13:22,CHECKED,17:06:41,CHECKED,18:10:25,CHECKED,19:01:23,CHECKED,20:13:52,CHECKED,20:56:09,CHECKED,21:57:46,$24.6K / $35.1K
CFX_USDT,CHECKED,00:51:43,CHECKED,04:15:41,CHECKED,06:03:41,CHECKED,07:12:43,CHECKED,08:19:03,CHECKED,09:02:02,CHECKED,10:05:13,CHECKED,11:03:53,CHECKED,12:04:07,CHECKED,12:52:50,CHECKED,14:40:35,CHECKED,14:55:41,CHECKED,16:13:22,CHECKED,17:06:41,CHECKED,18:10:25,CHECKED,19:01:23,CHECKED,20:13:52,CHECKED,20:56:09,CHECKED,21:57:46,$30.3K / $32.3K
DASH_USDT,CHECKED,00:51:43,CHECKED,04:15:41,WARNING,06:03:41,CHECKED,07:12:43,CHECKED,08:19:03,CHECKED,09:02:02,CHECKED,10:05:13,CHECKED,11:03:53,CHECKED,12:04:07,CHECKED,12:52:50,CHECKED,14:40:35,CHECKED,14:55:41,CHECKED,16:13:22,CHECKED,17:06:41,CHECKED,18:10:25,CHECKED,19:01:23,CHECKED,20:13:52,CHECKED,20:56:09,CHECKED,21:57:46,$15.5K / $16.6K
