Market,STATUS (CHECK 1),TIME (CHECK 1),STATUS (CHECK 2),TIME (CHECK 2),STATUS (CHECK 3),TIME (CHECK 3),STATUS (CHECK 4),TIME (CHECK 4),STATUS (CHECK 5),TIME (CHECK 5),STATUS (CHECK 6),TIME (CHECK 6),STATUS (CHECK 7),TIME (CHECK 7),STATUS (CHECK 8),TIME (CHECK 8),STATUS (CHECK 9),TIME (CHECK 9),STATUS (CHECK 10),TIME (CHECK 10),STATUS (CHECK 11),TIME (CHECK 11),STATUS (CHECK 12),TIME (CHECK 12),STATUS (CHECK 13),TIME (CHECK 13),STATUS (CHECK 14),TIME (CHECK 14),STATUS (CHECK 15),TIME (CHECK 15),STATUS (CHECK 16),TIME (CHECK 16),STATUS (CHECK 17),TIME (CHECK 17),STATUS (CHECK 18),TIME (CHECK 18),STATUS (CHECK 19),TIME (CHECK 19),DEPTH
AAVE_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,SKIPPED,,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$19.1K / $21.0K
ADA_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$103.9K / $144.6K
ALGO_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$42.5K / $47.2K
BCH_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$62.2K / $83.1K
BNB_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$36.4K / $36.4K
BONK_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$7.0K / $7.0K
BTC_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$1.32M / $1.52M
CAKE_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$27.0K / $33.6K
CFX_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$21.8K / $24.0K
DASH_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$17.4K / $18.9K
DOT_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$54.4K / $80.2K
DOGE_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$290.3K / $296.4K
ETH_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$126.2K / $126.2K
FARTCOIN_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$23.8K / $26.9K
FLOKI_USDT,CHECKED,00:51:41,CHECKED,04:15:19,CHECKED,06:01:45,CHECKED,07:12:48,CHECKED,08:18:57,CHECKED,09:03:13,CHECKED,10:05:26,CHECKED,11:06:45,CHECKED,12:05:02,CHECKED,12:52:41,CHECKED,14:38:59,CHECKED,16:06:09,CHECKED,16:59:46,CHECKED,18:02:52,CHECKED,19:01:01,CHECKED,20:09:59,CHECKED,20:54:01,CHECKED,21:51:21,CHECKED,22:50:46,$15.0K / $19.8K
